id,key,value,type
7370350,name,Nieuwe Prinsengracht,regular
7370350,oneway,yes,regular
7370350,highway,unclassified,regular
7370351,name,Roetersstraat,regular
7370351,oneway,yes,regular
7370351,highway,tertiary,regular
7370351,maxspeed,50,regular
7370352,name,Nieuwe Achtergracht,regular
7370352,oneway,yes,regular
7370352,highway,unclassified,regular
7370356,name,Nieuwe Prinsengracht,regular
7370356,layer,1,regular
7370356,bridge,yes,regular
7370356,oneway,yes,regular
7370356,highway,unclassified,regular
7370357,foot,yes,regular
7370357,name,Amstel,regular
7370357,highway,unclassified,regular
7370360,highway,unclassified,regular
7370360,name,Valckenierstraat,regular
7370360,oneway,yes,regular
7370360,bicycle,no,oneway
7370362,name,Nieuwe Achtergracht,regular
7370362,oneway,yes,regular
7370362,highway,unclassified,regular
7370365,cycleway,lane,regular
7370365,surface,asphalt,cycleway
7370365,surface:colour,black,cycleway
7370365,width,1.10,cycleway
7370365,highway,tertiary,regular
7370365,lit,yes,regular
7370365,maxspeed,50,regular
7370365,name,Sarphatistraat,regular
7370365,oneway,yes,regular
7370368,name,Onbekendegracht,regular
7370368,oneway,yes,regular
7370368,highway,unclassified,regular
7370370,name,Boerhaaveplein,regular
7370370,oneway,yes,regular
7370370,highway,unclassified,regular
7370370,cycleway,opposite,regular
7370372,name,Mauritskade,regular
7370372,highway,unclassified,regular
7370372,maxspeed,50,regular
7370373,name,Boerhaaveplein,regular
7370373,oneway,yes,regular
7370373,highway,unclassified,regular
7370377,name,Prof. Tulpstraat,regular
7370377,oneway,yes,regular
7370377,highway,unclassified,regular
7370377,alt_name,Professor Tulpstraat,regular
7370377,maxspeed,30,regular
7370378,name,Huddekade,regular
7370378,oneway,yes,regular
7370378,highway,unclassified,regular
7370378,cycleway,opposite_lane,regular
7370378,maxspeed,30,regular
7370382,name,Van Musschenbroekstraat,regular
7370382,oneway,yes,regular
7370382,highway,unclassified,regular
7370382,cycleway,opposite,regular
7370382,maxspeed,30,regular
